names,lat,lon
MASSACRE_BAY,52.83,173.2
SKAGWAY,59.45,-135.33
MALAGA,36.71,-4.42
PORT_ISABEL,26.06,-97.22
CEUTA,35.89,-5.32
VALPARAISO,-33.03,-71.63
WELLINGTON_II,-41.28,174.78
PUERTO_MADRYN,-42.77,-65.03
ALEXANDRIA,31.22,29.92
PORT_SAN_LUIS,35.18,-120.76
ALESUND,62.47,6.15
ANTOFAGASTA_2,-23.65,-70.4
ANTOFAGASTA,-23.65,-70.42
KWAJALEIN,8.73,167.74
KUSHIRO,42.98,144.37
MONTAUK,41.05,-71.96
ST. PETERSBURG,27.76,-82.63
KAHULUI_HARBOR,20.89,-156.48
LEGASPI,13.15,123.75
MIDWAY_ISLAND,28.21,-177.36
VARDO,70.37,31.1
BAR_HARBOR,44.39,-68.2
GRAND_ISLE,29.26,-89.96
PORT_ALBERNI,49.23,-124.82
CHUUK,7.45,151.85
EVENSKJAER,68.58,16.55
DAVAO,7.08,125.63
ROCKPORT,28.02,-97.05
PAGO_PAGO,-14.28,-170.69
APRA_HARBOR,13.44,144.65
BARENTSBURG,78.07,14.25
IMBITUBA,-28.23,-48.65
DIAMOND_HARBOUR,22.2,88.17
LA_LIBERTAD_II,-2.2,-80.92
KEELUNG_II,25.13,121.73
YUZHNO_KURILSK,44.02,145.87
BARENTSBURG_II,78.07,14.25
CAMP_COVE,-33.83,151.28
PUERTO_LIMON,10.0,-83.03
ALERT_BAY,50.58,-126.95
LA_LIBERTAD,-2.2,-80.92
RECIFE,-8.05,-34.87
PUERTO_CORTES,15.83,-87.95
LA_UNION,13.33,-87.82
BODO,67.29,14.39
GIBARA,21.11,-76.12
MACKAY,-21.1,149.23
LAS_PALMAS_C,28.15,-15.41
CORDOVA,60.56,-145.75
KODIAK_ISLAND,57.73,-152.51
SANTA_CRUZ_DE_LA_PALMA_B,28.67,-17.77
TIKSI,71.58,128.92
TALCAHUANO,-36.68,-73.1
CARTAGENA,10.4,-75.55
KANTON_ISLAND,-2.8,-171.72
SALVADOR,-12.97,-38.52
BELEM,-1.45,-48.5
NAOS_ISLAND,8.92,-79.55
ARRECIFE,28.97,-13.53
WAKE_ISLAND,19.29,166.62
KANDLA,23.02,70.22
GLOUCESTER_POINT,37.25,-76.5
JOHNSTON_ISLAND,16.74,-169.53
AMDERMA,69.75,61.7
UST_KARA,69.25,64.52
FEDOROVA,77.72,104.3
SANNIKOVA,74.67,138.9
SHALAUROVA,73.18,143.23
AMBARCHIK,69.62,162.3
RAU-CHUA,69.5,166.58
PEVEK,69.7,170.25
VANKAREM,67.83,-175.83
VRANGELIA,70.98,-178.48
MALYE_KARMAKULY,72.37,52.7
UST_OLENEK,73.0,119.87
DIKSON,73.5,80.4
STERLEGOVA,75.42,88.9
NETTEN,66.97,-171.93
QINHUANGDAO,39.9,119.6
PRAVDY,76.27,94.77
MYS_SHMIDTA,68.9,-179.37
RATMANOVA,65.85,-169.13
ARICA,-18.47,-70.33
CALDERA,-27.07,-70.83
MALYI_TAIMYR,78.08,106.82
KOLUCHIN,67.48,-174.65
UGORSKII_SHAR,69.82,60.75
TOBA,34.47,136.85
IRAKLION,35.35,25.15
ONAHAMA,36.94,140.89
KIPTOPEKE_BEACH,37.16,-75.99
TOWNSVILLE_I,-19.25,146.83
REYKJAVIK,64.15,-21.94
TUMACO,1.83,-78.73
DUNAI,73.93,124.5
KOTELNYI,76.0,137.87
KIGILIAH,73.33,139.87
KOLOBRZEG,54.18,15.55
USTKA,54.58,16.87
WLADYSLAWOWO,54.8,18.42
ANDREIA,76.8,110.75
ZHELANIA_II,76.95,68.55
GEIBERGA,77.6,101.52
MUOSTAH,71.55,130.03
CHETYREHSTOLBOVOI,70.63,162.48
BOLVANSKII_NOS,70.45,59.08
PREOBRAZHENIA,74.67,112.93
POPOVA,73.33,70.05
RUSSKII,77.17,96.43
SOLNECHNAIA,78.2,103.27
SVIATOI_NOS,72.83,140.73
ZEMLIA_BUNGE,74.88,142.12
IZUHARA,34.2,129.3
PROVIDENIA,64.42,-173.23
MAIZURU_I,35.48,135.4
TACLOBAN,11.25,125.0
ENEWETOK,11.37,162.35
MARII_PRONCHISHEVOI,75.53,113.43
PUERTO_ARMUELLES,8.27,-82.87
TOKUYAMA_I,34.03,131.8
OMINATO,41.25,141.15
TROMSO,69.65,18.96
HARSTAD,68.8,16.55
KRISTIANSUND,63.11,7.73
BURNIE,-41.05,145.91
MURMANSK,68.97,33.05
SPLIT_RT_MARJANA,43.51,16.39
ACAPULCO,16.83,-99.92
MURMANSK_II,68.97,33.05
FULFORD_HARBOUR,48.77,-123.45
SALINA_CRUZ,16.17,-95.2
PROGRESO,21.3,-89.67
COATZACOALCOS,18.15,-94.42
GUAYMAS,27.92,-110.9
LA_PAZ,24.17,-110.35
MANGALORE,12.85,74.83
KAINAN,34.14,135.19
HANSTHOLM,57.12,8.6
VISE,79.5,76.98
UEDINENIA,77.5,82.2
BILLINGA,69.88,175.77
RUSSKAIA_GAVAN_II,76.18,62.58
RUSSKAYA_GAVAN,76.2,62.58
MAZATLAN,23.2,-106.42
ASAMUSHI,40.9,140.86
YOKOSUKA,35.29,139.65
DALIAN,38.87,121.68
SEMBAWANG,1.47,103.83
FREEPORT,28.95,-95.31
CANANEIA,-25.02,-47.93
XIAMEN,24.45,118.07
IZVESTIA_TSIK,75.95,82.95
GOLOMIANYI,79.55,90.62
AION,69.93,167.98
YANTAI,37.53,121.38
MORZHOVAIA,71.42,67.58
ISACHENKO,77.15,89.2
BUORHAIA,71.95,132.77
KOSYSTYI,73.65,109.73
MANZANILLO,19.05,-104.33
KRASNOFLOTSKIE,78.6,98.83
NEZUGASEKI,38.56,139.55
KASHIWAZAKI,37.36,138.51
LOWESTOFT,52.47,1.75
MILLPORT,55.75,-4.91
NAWILIWILI_BAY,21.95,-159.35
UNALASKA,53.88,-166.54
HAMMERFEST,70.66,23.68
MAGUEYES_ISLAND,17.97,-67.05
DUBROVNIK,42.66,18.06
ROVINJ,45.08,13.63
RODBYHAVN,54.66,11.35
LA_CORUNA_II,43.36,-8.4
LA_PALOMA,-34.65,-54.15
BIRKENHEAD,53.4,-3.02
NEWPORT_BAY,33.6,-117.88
TADIBE-IAHA,70.37,72.57
ALVARADO,18.77,-95.77
MONBETU_I,44.35,143.37
SANDWICH_MARINA,41.77,-70.5
BUZZARDS_BAY,41.74,-70.62
REEDY_POINT,39.56,-75.57
NELSON,-41.26,173.27
MONACO,43.73,7.42
KIEL-HOLTENAU,54.37,10.16
TERPIAI-TUMSA,73.55,118.67
LEIXOES,41.18,-8.7
VALKARKAI,70.08,170.93
ENSENADA,31.85,-116.63
CIUDAD_DEL_CARMEN,18.63,-91.85
SHIMIZU-MINATO,35.01,138.52
KOMATSUSHIMA,34.01,134.59
MISUMI,32.62,130.45
SAKAI,35.55,133.24
UNO,34.49,133.95
HAKODATE_I,41.78,140.72
ABURATSU,31.58,131.41
TOSA_SHIMIZU,32.78,132.96
WAKAYAMA,34.22,135.15
TAN-NOWA,34.34,135.18
LORD_HOWE_ISLAND,-31.52,159.07
MAR_DEL_PLATA,-38.03,-57.52
PORT_ELIZABETH,-33.95,25.63
NORFOLK_ISLAND,-29.06,167.95
BRISBANE,-27.37,153.17
MOKUOLOE_ISLAND,21.43,-157.79
PETROPAVLOVSK-KAMCHATSKY,52.98,158.65
GLADSTONE,-23.85,151.31
SIMONS_BAY,-34.19,18.44
NAGAEVO,59.55,150.72
GALVESTON_I,29.29,-94.79
QUEEN_CHARLOTTE_CITY,53.25,-132.07
LERWICK,60.15,-1.14
PORT_KEMBLA,-34.47,150.91
EDEN,-37.07,149.91
BUNBURY,-33.32,115.66
KARUMBA,-17.5,140.83
PORT_NOLLOTH,-29.26,16.87
NEWCASTLE_V,-32.92,151.79
HOBART,-42.88,147.34
TORSHAVN,62.02,-6.77
HONDAU,20.67,106.8
PORT_RENFREW,48.55,-124.42
SANTA_CRUZ_DAS_FLORES,39.45,-31.12
SHIMONOSEKI_I,33.97,130.95
KOBE,34.68,135.18
TAKAMATSU,34.35,134.05
PORT_JEFFERSON,40.95,-73.08
NOUMEA-CHALEIX,-22.3,166.43
NEW_ROCHELLE,40.89,-73.78
BELYI_NOS,69.6,60.22
NAGOYA,35.08,136.88
MOSSEL_BAY,-34.18,22.14
LUDERITZ,-26.64,15.15
MOZI,33.95,130.97
ARGENTINE_ISLANDS,-65.25,-64.26
WALVIS_BAY,-22.95,14.5
MALIN_HEAD,55.37,-7.33
SOPOCHNAIA_KARGA,71.87,82.7
TUXPAN,21.0,-97.33
PADRE_ISLAND,26.07,-97.15
ZHAPO,21.58,111.82
KANMEN,28.08,121.28
DARWIN,-12.47,130.85
HEYSHAM,54.03,-2.92
ZHOHOVA,76.15,152.83
KNYSNA,-34.05,23.05
PORTNEUF,46.68,-71.88
SIBAURA,35.63,139.75
CAIRNS,-16.92,145.78
MOKPO,34.78,126.38
BUSAN,35.1,129.04
INCHEON,37.45,126.59
ALBANY,-35.03,117.89
SETE,43.4,3.7
CHINHAE,35.15,128.65
LUSI,32.13,121.62
TOULON,43.11,5.91
GIBRALTAR,36.15,-5.36
DEVONPORT,50.37,-4.19
COCOS_ISLAND,-12.12,96.89
BELLA_BELLA,52.17,-128.13
CADIZ_III,36.54,-6.29
PORT_TARANAKI,-39.06,174.03
ULSAN,35.5,129.39
TIMARU_HARBOUR,-44.39,171.26
ST-FRANCOIS,47.0,-70.82
TUKTOYAKTUK,69.42,-132.97
SAN_JUAN,18.46,-66.11
TRIBENI,22.98,88.4
HONNGU,18.8,105.77
CHAMPLAIN,46.43,-72.4
PESCHANYI,79.43,102.48
WONSAN,39.17,127.45
KOPER,45.55,13.72
ACAJUTLA,13.57,-89.83
KRENKELIA,80.62,58.05
RINCON_ISLAND,34.35,-119.44
NASE_II,28.38,129.5
SAGYLLAH-ARY,73.15,128.88
CIUDAD_MADERO,22.25,-97.8
ONISAKI,34.9,136.82
OSHORO_II,43.21,140.86
HIROSIMA,34.35,132.46
FUNCHAL,32.64,-16.91
GERALDTON,-28.78,114.6
ILHA_FISCAL,-22.9,-43.17
STONY_POINT,-38.37,145.22
TAI_PO_KAU,22.44,114.18
AMRUM,54.62,8.38
BORKUM,53.56,6.75
PORT_MANSFIELD,26.55,-97.42
TEMA,5.62,0.0
MIYAKE_SIMA,34.07,139.48
KOZU_SIMA,34.21,139.13
MATSUYAMA_II,33.86,132.71
MINAMI_IZU,34.62,138.88
WHANGAREI_HARBOUR,-35.76,174.35
JEJU,33.53,126.54
ANCHORAGE,61.24,-149.89
BRIDGEPORT,41.17,-73.18
VICTOR_HARBOUR,-35.56,138.64
SELDOVIA,59.44,-151.72
PORT_HARDY,50.72,-127.48
TUTICORIN,8.75,78.2
ROSYTH,56.02,-3.45
BAR,42.08,19.08
POINTE_ST. GILDAS,47.13,-2.25
SANTO_TOMAS_DE_CASTILLA,15.7,-88.62
MAISAKA,34.68,137.61
URAGAMI,33.56,135.9
OKADA,34.79,139.39
AWA_SIMA,38.47,139.25
HAKATA,33.62,130.41
SAIGO,36.2,133.33
NISINOOMOTE,30.73,130.99
ODOMARI,31.02,130.69
SUMOTO,34.34,134.91
OSAKA,34.66,135.43
NAGASAKI,32.73,129.87
FUKUE,32.7,128.85
OURA,32.98,130.22
WAKKANAI,45.41,141.69
ABASHIRI,44.02,144.29
NAKANO_SIMA,29.84,129.85
FORT_MYERS,26.65,-81.87
NAPLES,26.13,-81.81
MUKHO,37.55,129.12
WICK,58.44,-3.09
NANTUCKET_ISLAND,41.28,-70.1
ULLAPOOL,57.9,-5.16
HELGEROA,59.0,9.86
ESPERANCE,-33.87,121.9
CARNARVON,-24.9,113.65
WYNDHAM,-15.45,128.1
PICTOU,45.68,-62.7
ANTIPAIUTA,69.08,76.85
OWASE,34.08,136.21
SASEBO_II,33.16,129.72
TAJIRI,35.59,134.32
MIYAKO_II,39.64,141.98
SHIRAHAMA,33.68,135.38
NAHA,26.21,127.67
PATRICIA_BAY,48.65,-123.45
CAPE_MAY,38.97,-74.96
BUNDABERG,-24.77,152.38
YEOSU,34.75,127.77
DAUPHIN_ISLAND,30.25,-88.08
WEIPA,-12.67,141.87
YARMOUTH,43.83,-66.13
BROOME,-18.0,122.22
MILNER_BAY,-13.86,136.42
PARADIP,20.27,86.7
SIBONEY,23.1,-82.47
RABAUL,-4.2,152.18
MIKUNI,36.25,136.15
KATSUURA,35.13,140.25
APALACHICOLA,29.73,-84.98
MURORAN,42.35,140.95
CAPE_TOWN,-33.91,18.43
SOUTH_BEACH,44.62,-124.04
FYNSHAV,54.99,9.99
STE-ANNE-DES-MONTS,49.13,-66.48
SE-LAHA,70.15,72.57
KURE_IV,34.24,132.55
TOKUYAMA_II,34.04,131.8
SPIKARNA,62.36,17.53
UWAJIMA_II,33.23,132.55
RIVIERE-AU-RENARD,49.0,-64.38
ILFRACOMBE,51.21,-4.11
PORTPATRICK,54.84,-5.12
SPRING_BAY,-42.55,147.93
MAJURO-B,7.1,171.37
BAIE_COMEAU,49.23,-68.13
TADOUSSAC,48.13,-69.72
SOUDHAS,35.49,24.08
LEROS,37.13,26.85
SIROS,37.44,24.95
GOTEBORG - TORSHAMNEN,57.68,11.79
KHALKIS_NORTH,38.47,23.59
ALEXANDROUPOLIS,40.84,25.88
LEVKAS,38.83,20.71
KATAKOLON,37.64,21.32
RORVIK,64.86,11.23
BAMFIELD,48.85,-125.13
RHODOS,36.44,28.24
ST-JOSEPH-DE-LA-RIVE,47.45,-70.37
NEW  WESTMINSTER,49.2,-122.92
HAY_POINT,-21.28,149.3
PORT_TUDY,47.64,-3.45
SULTAN_SHOAL,1.23,103.65
MORMUGAO,15.42,73.8
PATRAI,38.42,21.73
MALAKAL-B,7.33,134.47
RIKITEA,-23.12,-134.97
STEVESTON,49.12,-123.18
OMAEZAKI_II,34.61,138.22
OGA,39.94,139.71
AKUNE,32.02,130.19
HACHINOHE_II,40.53,141.53
HONNINGSVAG,70.98,25.97
BOOBY_ISLAND,-10.6,141.91
CHARLESTON_II,43.34,-124.32
HALDIA,22.03,88.1
USHUAIA_II,-54.82,-68.22
EASTER_ISLAND-E,-27.15,-109.47
CALLAO_2,-12.05,-77.15
JURONG,1.3,103.72
OITA_II,33.27,131.69
LE_CONQUET,48.36,-4.78
CAMBRIDGE_II,38.57,-76.07
URAKAWA_II,42.17,142.77
CABO_DE_SAN_ANTONIO,21.9,-84.9
NORTH_SYDNEY,46.22,-60.25
INCE_POINT,-10.51,142.31
CONCARNEAU,47.87,-3.91
HAGI,34.43,131.42
KARIYA,33.47,129.85
KURE_I,33.33,133.24
ARGENTIA,47.3,-53.98
SEPT-ILES,50.2,-66.4
CAMPBELL_RIVER,50.02,-125.23
POHANG,36.05,129.38
PORT_TOWNSEND,48.11,-122.76
CAPE_LAMBERT,-20.59,117.19
KANTON_ISLAND-B,-2.82,-171.72
ITO_II,34.9,139.13
OGI,37.81,138.28
SOMA,37.83,140.96
KAMAISI_II,39.27,141.89
ROSCOFF,48.72,-3.97
LOWER_ESCUMINAC,47.08,-64.88
NIKISKI,60.68,-151.4
RAFFLES_LIGHT_HOUSE,1.17,103.75
MONTEREY,36.6,-121.89
VALDEZ,61.12,-146.36
TOKE_POINT,46.71,-123.97
CABO_SAN_LUCAS,22.88,-109.9
KAOHSIUNG_II,22.53,120.32
OFUNATO_II,39.02,141.75
SOKCHO,38.21,128.59
TSIM_BEI_TSUI,22.49,114.01
WHYALLA_III,-33.01,137.59
GOODS_ISLAND,-10.56,142.15
GANGRA,21.95,88.02
POHNPEI-B,6.98,158.23
CHRISTMAS_ISLAND_II,1.98,-157.48
FRENCH_FRIGATE_SHOALS,23.87,-166.28
HONIARA_II,-9.43,159.95
KUCHINOTSU,32.61,130.2
MAIZURU_II,35.48,135.39
OKINAWA,26.18,127.82
TOYAMA,36.76,137.22
MUROTOMISAKI,33.27,134.16
CHICHIJIMA,27.08,142.18
PORT-ALFRED,48.33,-70.87
CHARLOTTE_AMALIE,18.34,-64.92
POINT_REYES,37.99,-122.98
OKHA,22.47,69.08
PAPEETE-B,-17.53,-149.57
BYKOV_MYS,72.0,129.12
TANGGU,39.0,117.72
SHIJIUSUO,35.38,119.55
LIANYUNGANG,34.75,119.45
SHANWEI,22.75,115.35
BEIHAI,21.48,109.08
WALLAROO_II,-33.93,137.62
NY-ALESUND,78.93,11.94
NORTH_SOUND,19.3,-81.32
SOUTH_SOUND,19.27,-81.38
HAIKOU,20.02,110.28
TAGO,34.81,138.76
YAIZU,34.87,138.33
KAMINATO_II,33.13,139.8
KHALKIS_SOUTH,38.46,23.59
HANASAKI_II,43.28,145.57
SPRINGMAID_PIER,33.66,-78.92
GADEOKDO,35.02,128.81
TONGYEONG,34.83,128.43
LIME_TREE_BAY,17.69,-64.75
KOSEROW,54.06,14.0
QUINHON,13.77,109.25
PENRHYN,-9.02,-158.07
HIRON_POINT,21.78,89.47
FUNAFUTI,-8.53,179.22
KHEPUPARA,21.83,89.83
ALMERIA,36.83,-2.48
SINES,37.95,-8.88
NICE,43.7,7.29
PORT_VENDRES,42.52,3.11
MONBETU_II,44.35,143.37
PORT_DOUGLAS_2,-16.48,145.47
KAPINGAMARANGI,1.1,154.78
SAIPAN,15.23,145.75
DANANG,16.1,108.22
COX'S_BAZAAR,21.45,91.83
NAGOYA_II,35.09,136.88
HEUKSANDO,34.68,125.44
ULLEUNG,37.49,130.91
TOBERMORY,56.62,-6.06
CAPE_FERGUSON,-19.28,147.06
